Code,Location,Site,Day,Month,Year,Depth,Replicate,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
SE-SW-D6-1989-11-29-T4,Pulau Semakau,SE-SW,29,11,1989,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
SE-SW-D6-1989-11-29-T5,Pulau Semakau,SE-SW,29,11,1989,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35
SR-SE-D1-2020-3-26-T1,Pulau Seringat,SR-SE,26,3,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,190,0,0,0,0,0,0,42,0,291
SR-SE-D1-2020-3-26-T2,Pulau Seringat,SR-SE,26,3,2020,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,27,0,0,0,0,21,0,19,0,0,0,0,0,0,33,0,158
SR-SE-D1-2020-3-26-T3,Pulau Seringat,SR-SE,26,3,2020,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,15,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,68,0,66,10,0,0,0,0,0,3,0,430
SR-SE-D1-2020-3-26-T4,Pulau Seringat,SR-SE,26,3,2020,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,37,0,51,0,0,0,0,0,0,14,0,208
PSD-NW-D3-2019-1-10-T1,Pulau Subar Darat,PSD-NW,10,1,2019,3,1,0,0,0,0,0,0,0,5,0,0,200,6,0,57,0,60,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,31,0,0,0,0,0,0,0,0,0,55,0,89,12,5,0,0,0,0,25,29,0,0,0,0,0,50,0,652
PSD-NW-D3-2019-1-10-T2,Pulau Subar Darat,PSD-NW,10,1,2019,3,2,0,25,0,0,0,0,0,0,0,15,85,0,127,187,0,60,21,0,71,0,0,0,0,20,0,0,0,0,30,0,82,0,14,0,0,0,0,0,0,88,0,0,63,0,101,0,0,0,23,53,0,30,0,0,0,0,0,0,32,0,1127
PSD-NW-D3-2019-1-10-T3,Pulau Subar Darat,PSD-NW,10,1,2019,3,3,15,10,0,0,0,0,0,0,0,0,107,41,0,90,0,4,0,21,22,41,0,0,0,27,0,10,0,0,14,0,86,0,66,0,0,0,0,0,0,32,55,0,66,0,17,37,0,0,0,38,0,81,0,0,0,0,0,0,79,0,959
PSD-NW-D3-2019-1-10-T4,Pulau Subar Darat,PSD-NW,10,1,2019,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,64,0,0,12,78,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,89,0,22,0,79,10,0,0,0,101,0,25,0,0,0,0,0,0,0,0,734
PSD-NW-D3-2019-1-10-T5,Pulau Subar Darat,PSD-NW,10,1,2019,3,5,0,0,0,0,0,0,0,33,0,0,53,0,0,0,0,24,0,0,0,64,0,0,0,0,0,12,0,0,0,0,11,0,5,0,0,10,37,0,0,0,170,0,64,0,13,0,0,0,0,0,0,62,0,0,0,0,0,0,50,0,608
PSD-NW-D3.5-2017-7-17-T1,Pulau Subar Darat,PSD-NW,17,7,2017,3.5,1,0,0,0,0,0,0,16,0,0,23,0,2,0,0,0,30,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,82,0,0,0,123,0,30,0,0,0,0,0,0,0,0,127,31,0,0,0,0,2,87,0,606
PSD-NW-D3.5-2017-7-17-T2,Pulau Subar Darat,PSD-NW,17,7,2017,3.5,2,0,0,0,0,0,0,0,30,0,0,0,13,0,0,0,27,0,23,0,65,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,10,22,0,0,0,86,0,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,0,0,0,351
PSD-NW-D3.5-2017-7-17-T3,Pulau Subar Darat,PSD-NW,17,7,2017,3.5,3,0,0,0,0,0,0,0,0,0,0,0,334,0,40,0,0,0,0,78,20,0,0,0,15,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,98,0,133,0,0,0,0,0,0,22,0,16,0,0,0,0,0,0,0,0,784
PSD-NW-D3.5-2017-7-17-T4,Pulau Subar Darat,PSD-NW,17,7,2017,3.5,4,13,28,0,0,0,0,0,0,0,0,0,20,36,50,0,179,0,0,0,48,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,22,0,0,0,30,0,35,0,126,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,693
PSD-NW-D3.5-2017-7-17-T5,Pulau Subar Darat,PSD-NW,17,7,2017,3.5,5,0,0,0,0,0,0,0,0,0,0,140,0,0,90,0,35,0,0,0,45,0,0,0,0,0,10,0,0,25,0,10,0,25,0,0,0,20,0,50,0,10,10,105,0,75,0,0,0,0,65,0,0,0,0,0,0,0,0,160,0,875
PSD-NW-D3-2016-4-20-T1,Pulau Subar Darat,PSD-NW,20,4,2016,3,1,0,0,0,0,0,0,0,25,0,0,70,0,67,0,0,78,0,10,10,37,0,0,10,0,0,0,0,0,40,0,77,0,30,0,0,0,0,0,0,0,0,30,42,0,86,0,0,0,18,0,0,98,15,0,0,0,0,0,0,0,743
PSD-NW-D3-2016-4-20-T2,Pulau Subar Darat,PSD-NW,20,4,2016,3,2,0,0,0,0,0,0,0,0,0,15,70,15,80,120,0,45,0,0,20,0,0,0,0,0,0,0,0,0,86,0,114,0,63,0,0,0,15,0,0,115,53,0,105,0,20,0,0,0,0,95,0,100,0,0,0,0,0,0,100,0,1231
