Core,Site,DepthConsolidated,AgeConsolidated500,Age,Acropora,Montipora,Euphyllia,Goniopora,Porites,Merulinidae,Unknown,Heliopora,Fungia,Diploastrea,Tubastrea,Astreopora,Echinophyllia,Pachyseris,Turbinaria,Pavona,Oxypora,Podabacia,Pseudosiderastrea,Psammocora
KS02,KS,15,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,30,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,35,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,40,0,-41,0,0,0,0,0.963026361,0,0.036973639,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,45,0,-40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,50,0,-40,0,0,0,0,0.85055705,0,0.14944295,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,15,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,30,8000,7613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,35,8000,7633,0,0,0,0.559432933,0.440567067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,40,8000,7657,0,0,0,0.336424688,0.141349536,0,0.263511353,0,0,0,0,0,0,0,0,0.189958427,0,0,0,0.068755996
KS03,KS,45,8000,7683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS03,KS,50,8000,7708,0,0,0,0,0.103073286,0,0,0,0,0,0,0,0,0,0,0.896926714,0,0,0,0
KS03,KS,55,8000,7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS03,KS,60,8000,7757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS03,KS,65,8000,7783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KS03,KS,70,8000,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS03,KS,75,8000,7833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS03,KS,80,8000,7859,0,0,0,0,0,0.356321839,0,0,0,0,0,0,0,0,0,0.643678161,0,0,0,0
KS03,KS,85,8000,7884,0,0,0,0,0,0.870981569,0,0,0,0,0,0,0,0,0,0.129018431,0,0,0,0
KS03,KS,90,8000,7908,0,0,0,0,0,0.461398398,0.538601602,0,0,0,0,0,0,0,0,0,0,0,0,0
SL01,SL,5,7500,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SL01,SL,10,7500,7439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL01,SL,15,7500,7450,0,0,0.843261719,0,0,0,0.156738281,0,0,0,0,0,0,0,0,0,0,0,0,0
SL01,SL,20,7500,7460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
