Code,Location,Site,Day,Month,Year,Depth,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
KU-NE-D3-2016-12-22,Kusu Island,KU-NE,22,12,2016,3,0,0,0,0,0,0,0,0,0,0,18,11.2,8.8,6,0,13.4,0,1,4,27,0,0,0,43.4,0,0,0,0,1,0,17.8,0,31.6,0,0,13,36.8,0,0,2.2,57.2,0,31.2,0,6,0,0,0,0,9,0,11.2,49.6,0,0,0,0,0,10,0,409.4
KU-NE-D3-2018-5-25,Kusu Island,KU-NE,25,5,2018,3,0,0,0,0,0,0,0,0,0,0,4.2,14.4,5.4,40.4,0,34.8,1.6,4.2,26.6,14.6,0,0,0,51.4,0,0,0,0,18,0,42,0,77,0,0,6,3.4,0,26.4,0,40.6,5,12.6,0,47.4,0,0,0,4,15.4,0,32.4,60.2,0,8.4,0,0,0,19.4,0,615.8
KU-NE-D3-2020-3-26,Kusu Island,KU-NE,26,3,2020,3,0,31,0,0,0,0,7.4,0,0,0,5,23.4,0,16.8,3.2,27.4,4.4,3.6,3.6,0,0,0,0,50.6,0,0,22.4,0,0,0,68.6,0,82.4,0,0,10.4,15,0,0,0,52.8,10.2,18.8,0,72,0,7.6,0,4.6,29.8,0,26.6,2.6,0,0,0,0,0,21,0,621.2
KU-NE-D3-2018-9-26,Kusu Island,KU-NE,26,9,2018,3,0,0,0,0,0,0,0,0,0,0,5.4,4.4,14.2,5.4,9.2,36.2,1.8,8.4,28.4,7,0,0,0,4.4,0,0,0,0,0,0,4.2,0,39.8,0,0,29.2,16,0,0,0,103,5,34.4,0,22.2,2.2,0,0,1.6,19.4,0,52.4,20.2,0,0,0,0,0,1.6,0,476
KU-NE-D3-2020-9-26,Kusu Island,KU-NE,26,9,2020,3,0,46.4,0,0,0,0,0,0,0,1,3.2,21.6,8.8,10.2,9.2,38,0,12.8,2,9.4,0,0,7.4,39.4,0,0,17.4,0,6.8,0,63.8,0,115.6,0,0,0,7.8,0,9,0,151.2,13.6,36.8,0,21.8,0,0,0,3.4,32.4,0,47.8,45.4,0,0,0,0,0,11.2,0,793.4
LA-S-D3-2017-4-28,Labrador,LA-S,28,4,2017,3,0,0,0,2.8,0,0,0,3,0,4,42.8,0,3.6,0,0,25.2,0,0,0,25.8,0,0,17.2,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,7,2.4,0,12,0,11.4,0,0,1.8,0,35.4,117.4,0,0,0,0,0,28.8,0,342
LZ-E-D3-1990-4-12,Lazarus Island,LZ-E,12,4,1990,3,0,0,0,0,0,0,0,0,0,0,0,7.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
LZ-E-D10-1990-4-12,Lazarus Island,LZ-E,12,4,1990,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LZ-E-D3-2018-9-14,Lazarus Island,LZ-E,14,9,2018,3,7,4.6,0,0,0,0,0,0,0,6.8,3.4,25.4,12.4,15.6,8.6,27,0,7.8,2.4,15.2,0,0,0,0,0,0,0,0,1.4,0,3.8,0,1,0,0,0,17.2,0,0,0,8.6,0,65,0,45.6,3.2,0,0,0,12.6,0,0,0,0,0,0,0,0,29.4,0,324
LZ-E-D0-1990-6-18,Lazarus Island,LZ-E,18,6,1990,0,0,0,0,0,0,0,0,0,0,0,61.66666667,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11.33333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,87.33333333
