Core,DepthConsolidated,Location,Unknown,Goniopora,Dipsastraea,Montipora,Porites,Echinopora,Euphyllia,Acropora,Heliopora,Fungia,Merulina,Diploastrea,Tubastraea,Astreopora,Platygyra,Echinophyllia,Hydnophora,Pachyseris,Turbinaria,Pavona,Pectinia,Oxypora,Goniastrea,Cyphastrea,Podabacia,Favites,Pseudosiderastrea,Psammocora
HA03,105,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,110,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,115,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,120,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,130,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,135,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,140,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,145,West,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,150,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,155,West,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,160,West,0,0,0,0.410702341,0,0,0,0,0,0,0,0,0,0.589297659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,165,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,170,West,0,0,0,0,0,0.60011217,0.39988783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,190,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,200,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,210,West,0,0,0,0,0.482834186,0,0.465668371,0,0,0,0,0,0.051497443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,5,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,10,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,25,West,0,0,0,0,0.405801264,0,0,0,0,0,0,0,0.594198736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,30,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,35,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,10,West,0.375,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,25,West,0,0,0,0.069777778,0,0,0,0.008888889,0.137333333,0,0,0,0,0,0,0,0,0.7,0,0,0.084,0,0,0,0,0,0,0
HA05,30,West,0,0,0,0.012353568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956336528,0,0,0,0.031309904,0,0,0,0,0,0
HA05,35,West,0.252542967,0,0,0.046650298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700806734,0,0,0,0,0,0,0,0,0,0
HA05,40,West,0.360029663,0,0,0,0.064886911,0,0,0,0.22246941,0,0,0,0,0,0,0,0,0.352614016,0,0,0,0,0,0,0,0,0,0
HA05,45,West,0.075773746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924226254,0,0,0,0,0,0,0,0,0,0
HA05,50,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HA05,55,West,0.373907615,0,0,0,0,0,0,0.555243446,0,0,0,0,0,0,0,0,0,0.070848939,0,0,0,0,0,0,0,0,0,0
HA05,60,West,0.086451613,0,0,0,0,0,0,0.88483871,0,0,0,0,0,0,0,0,0,0.028709677,0,0,0,0,0,0,0,0,0,0
HA05,65,West,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,70,West,0,0,0,0,0.047112462,0,0,0.896656535,0.056231003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,5,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,10,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HA06,15,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HA06,20,West,0.237373737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762626263,0,0,0,0,0
HA06,25,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,30,West,0.010685406,0,0,0.004331921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984982672,0,0,0,0,0
HA06,35,West,0,0,0.666960871,0.109443954,0,0,0,0,0,0,0,0,0,0.085319212,0,0,0,0,0,0,0,0,0.138275964,0,0,0,0,0
HA06,40,West,0,0,0,0.264492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735507246,0,0,0,0,0,0,0,0,0
HA06,45,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HA06,50,West,0.661605206,0,0,0,0,0,0,0,0,0,0,0,0,0.338394794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,55,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,60,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
